1. ускорение от отсечения
0.3 1.38
0.4 1.33
0.5 1.45
0.6 1.49
0.8 1.5
0.9 1.58
0.95 1.42
0.99 1.46
2. таблица ускорений
Название задачи,PAMI time,PAMI major iter, PAMI average mini,CUDA time, CUDA iter, Sequential time, Sequential iter
"ken-07.mps",2900,304,3.68,3300,1078,2100,1079
"ken-11.mps",68000,1898,3.707,44764,7582,71000,6917        
"osa-07.mps",4700,489,2.109,3381,683,6687,754
"osa-14.mps",15000,928,2.11,14200,1558,27000,1673
"osa-30.mps",55000,2124,1.88,34481,3783,92688,3540
"osa-60.mps",310000,3655,2.11,134000,7479,507000,8484
"pds-02.mps",1010,144,3.45,3200,833,1564,817
"fit2d.mps",2619,86,2.2907,1597,128,2900,134
"fit2p.mps",46000,4663,2.12,43000,6527,45000,6834
"woodw.mps",1400,398,2.7,2400,981,3200,833
